Time, x,y,z,q_x,q_y_,q_z,q_w,x_dot,y_dot,z_dot
296.627,947462,533817,1660.75,0.00939008,0.00521387,0.999936,-0.00352556,-1.567,0,0
296.633,947462,533817,1660.75,0.0114934,0.00457076,0.999904,-0.00625543,-1.576,0,0
296.653,947462,533817,1660.75,0.0114934,0.00457076,0.999904,-0.00625543,-1.582,0,0
296.708,947462,533817,1660.75,0.0114934,0.00457076,0.999904,-0.00625543,-1.589,0,0
296.743,947462,533817,1660.75,0.0114934,0.00457076,0.999904,-0.00625543,-1.591,0,0
296.744,947462,533817,1660.75,0.0114934,0.00457076,0.999904,-0.00625543,-1.587,0,0
296.745,947462,533817,1660.75,0.0114891,0.00331862,0.999879,-0.00998987,-1.583,0,0
296.796,947462,533817,1660.75,0.0114891,0.00331862,0.999879,-0.00998987,-1.584,0,0
296.797,947462,533817,1660.75,0.0114891,0.00331862,0.999879,-0.00998987,-1.587,0,0
296.807,947462,533817,1660.75,0.0114891,0.00331862,0.999879,-0.00998987,-1.588,0,0
296.845,947462,533817,1660.75,0.0114891,0.00331862,0.999879,-0.00998987,-1.591,0,0
296.846,947462,533817,1660.75,0.0127103,0.00277276,0.999812,-0.0143485,-1.598,0,0
296.854,947462,533817,1660.75,0.0127103,0.00277276,0.999812,-0.0143485,-1.605,0,0
296.896,947462,533817,1660.75,0.0127103,0.00277276,0.999812,-0.0143485,-1.612,0,0
296.904,947462,533817,1660.75,0.0127103,0.00277276,0.999812,-0.0143485,-1.614,0,0
296.914,947462,533817,1660.75,0.0127103,0.00277276,0.999812,-0.0143485,-1.615,0,0
296.933,947462,533817,1660.74,0.0146769,0.00273074,0.999711,-0.0188498,-1.617,0,0
296.966,947462,533817,1660.74,0.0146769,0.00273074,0.999711,-0.0188498,-1.621,0,0
296.973,947462,533817,1660.74,0.0146769,0.00273074,0.999711,-0.0188498,-1.629,0,0
296.994,947462,533817,1660.74,0.0146769,0.00273074,0.999711,-0.0188498,-1.64,0,0
297.028,947462,533817,1660.74,0.0146769,0.00273074,0.999711,-0.0188498,-1.655,0,0
297.033,947463,533817,1660.74,0.0166246,0.00364695,0.999601,-0.0225479,-1.669,0,0
297.053,947463,533817,1660.74,0.0166246,0.00364695,0.999601,-0.0225479,-1.683,0,0
297.074,947463,533817,1660.74,0.0166246,0.00364695,0.999601,-0.0225479,-1.701,0,0
297.103,947463,533817,1660.74,0.0166246,0.00364695,0.999601,-0.0225479,-1.717,0,0
297.113,947463,533817,1660.74,0.0166246,0.00364695,0.999601,-0.0225479,-1.733,0,0
